66289450,,R83,M`+G \\l>6C,-Y,Seit~ Y,MAuUezGrovO,Lxmb~]oun9y,4F,w8T5X,U7it~PPStUt@e,9.7223142E8,co5)$
1279088101,AA";AA^dtt.NAtA@,H#3,Main W3lloR,Lz,vuitH8{,,r;(n !\unty,TX,76~>2,bDiteq Strt5s,1.56510832E8,bgndS
925670656,AAAa+RLAlpAA?'AA,U)b,1a(( lillow,Ln,Su<iekY,MaLSet!H`Te,%jMt DouDty,>N,7825[,MnD9QdVY-lteU,4.61767936E8,"~n[y
1722124576,AAGqA0AJ\)AAAmAA,V{3,?nKvyWbOlSw,Ln,Surtf;7,`j1lD %rove,La7. <ohn"y,LX,7I2/*,Unitp3 %oat4s,2.05216294E9,condo
2076090947,Au1AAhe6B+K'ApAz,24T,i|in]<i{H5w,Ln,S9i`Fw1,MRplo KF+vj,LGmw g_un=/,OX,$`252,,1.25422264E8,c^nPo
53191989,-AAAAQfABAA&uZ>u,o/3,.a\n Vill-l,{n,Suize O,L/pVe Gzo9e,L@mkII|un'y,Tt,7b252,United|S9=t7s,1.07203112E8,c$n]o
714880484,E*{A3AuABAAtZA&u,~KB,M4in willL6,h-,Sui5e Y,MXU?p `]ove,LqNb CMO1tl,BX,D>2k%,UniDep Stafes,9.059127E8,con?3
1399584442,,J8e,M)On W|llow,L*,Suqte Y,M\ple [rovA,Lamb 63?(t<,nX,782T],a&Etwd@O$9#es,2.06192896E9,cold{
1440721945,AAmA5KAABsAAvAA>,c83,u@iYBWi"low,Qn,S-lt+ Y,MaMl* [K5Ge,Da_byCouRty,mX,78L5q,United St5UeJ,5.4384678E8,+onHo
1921427543,1AAAAA&A"AYAAfAA,223,`a0nJW'V+(~,i$,Lu2Oe Y,Ma]ne~Nr`vk,`amN`xduBtq,TX,7825u,Un:l3d;otates,1.7400416E8,conFY
37234980,=A6FAlAABAASAAAg,28K,MaR/ WGOvow,on,SMite L,M>plcW=Coze,La^b CoN&Py,TX,m8252,UnJ;eEnWJ+^Ns,1.41234381E9,cIn_(
1973269285,=AAAAA.ABWAAAlAA,28q,Main;aiQ;ow,L<,St~tc N,Bapu) GrsT;,LBmb$Zou;ty,u',,3niIeH-.tjtKY,1.5296192E9,noK%o
